,index,acc1,acc2,acc3,acc4,duration,utcdate
0,46746,-1;-6;-6,4;-3;-2,3;-3;1,3;-2;2,46746,2021-11-16
1,51360,,,,,51360,2021-11-16
2,51363,1;0;2,2;-2;1,1;-1;1,0;-3;2,51363,2021-11-16
3,51622,,,,,51622,2021-11-16
4,51624,0;-2;2,-1;-4;0,-2;-2;-1,-3;0;1,51624,2021-11-16
5,51892,,,,,51892,2021-11-16
6,51894,-2;0;4,-4;0;1,-3;0;0,-3;-2;2,51894,2021-11-16
7,52161,,,,,52161,2021-11-16
8,52163,-1;-3;0,-2;-3;0,-2;-1;0,-2;1;0,52163,2021-11-16
9,52423,,,,,52423,2021-11-16
10,52425,-4;1;-3,-5;0;-3,-2;0;0,-5;3;4,52425,2021-11-16
11,52699,,,,,52699,2021-11-16
12,52701,-1;1;0,-2;0;1,-5;2;1,-2;0;-1,52701,2021-11-16
13,52962,,,,,52962,2021-11-16
14,52964,-3;1;0,-1;2;0,-2;3;1,-1;3;-1,52964,2021-11-16
15,53230,,,,,53230,2021-11-16
16,53232,-2;4;0,-2;2;2,-3;6;0,-2;3;0,53232,2021-11-16
17,53502,,,,,53502,2021-11-16
18,53505,-4;2;-2,-5;6;-1,-3;6;0,-3;5;-1,53505,2021-11-16
19,53771,,,,,53771,2021-11-16
20,53773,0;8;2,-2;9;-3,0;3;1,-1;10;3,53773,2021-11-16
21,54057,,,,,54057,2021-11-16
22,54060,1;11;0,1;0;-2,0;0;-3,1;4;-1,54060,2021-11-16
23,54325,,,,,54325,2021-11-16
24,54327,1;5;-3,3;8;-3,2;6;-2,0;8;2,54327,2021-11-16
25,54588,,,,,54588,2021-11-16
26,54596,0;6;-1,-2;10;0,0;10;-5,-2;12;0,54596,2021-11-16
27,54864,,,,,54864,2021-11-16
28,54866,0;11;0,1;15;1,0;15;1,1;12;1,54866,2021-11-16
29,55126,,,,,55126,2021-11-16
30,55129,3;9;2,4;12;4,2;10;4,0;12;1,55129,2021-11-16
31,55396,,,,,55396,2021-11-16
32,55398,1;7;1,-1;9;1,2;7;-1,2;10;-2,55398,2021-11-16
33,55664,,,,,55664,2021-11-16
34,55666,0;12;-3,1;10;1,0;7;0,0;8;0,55666,2021-11-16
35,55927,,,,,55927,2021-11-16
36,55936,-2;8;0,0;9;5,1;10;2,1;8;-1,55936,2021-11-16
37,56198,,,,,56198,2021-11-16
38,56200,0;7;0,0;10;2,0;10;0,-1;3;0,56200,2021-11-16
39,56465,,,,,56465,2021-11-16
40,56467,2;5;0,0;2;1,1;6;2,2;1;2,56467,2021-11-16
41,56732,,,,,56732,2021-11-16
42,56734,-2;4;0,-1;2;-1,0;2;2,-2;0;2,56734,2021-11-16
43,57003,,,,,57003,2021-11-16
44,57006,0;0;2,1;-3;4,1;-3;2,0;-1;0,57006,2021-11-16
45,57266,,,,,57266,2021-11-16
46,57268,0;-1;0,-1;-1;2,-1;-2;-1,0;-2;0,57268,2021-11-16
47,57541,,,,,57541,2021-11-16
48,57543,-1;-4;0,-2;-3;-1,-3;-3;1,-3;-4;0,57543,2021-11-16
49,57804,,,,,57804,2021-11-16
50,57806,-3;-4;0,-1;-5;0,-2;-2;-1,-3;-2;-1,57806,2021-11-16
51,58072,,,,,58072,2021-11-16
52,58074,-3;-5;-3,-3;-4;0,-3;-5;0,-3;-3;1,58074,2021-11-16
53,58335,,,,,58335,2021-11-16
54,58337,-5;0;4,0;-5;0,0;-7;-4,0;-5;-2,58337,2021-11-16
55,58605,,,,,58605,2021-11-16
56,58607,0;-4;-2,1;-3;2,4;-6;3,4;-6;0,58607,2021-11-16
57,58874,,,,,58874,2021-11-16
58,58876,7;-5;2,5;-4;2,0;-3;5,5;-3;2,58876,2021-11-16
59,59143,,,,,59143,2021-11-16
60,59145,1;-1;0,-3;-3;1,-3;-4;-1,-1;-2;0,59145,2021-11-16
61,59405,,,,,59405,2021-11-16
62,59412,-2;-5;-2,-4;-6;-2,-4;-5;-3,-4;-3;-3,59412,2021-11-16
63,59681,,,,,59681,2021-11-16
64,59683,-4;-4;1,-1;-3;5,-2;-5;4,-1;-6;0,59683,2021-11-16
65,59957,,,,,59957,2021-11-16
66,59959,0;-8;3,-3;-6;0,-5;-4;1,-4;-3;3,59959,2021-11-16
67,60232,,,,,60232,2021-11-16
68,60234,-4;-6;-3,-4;-7;0,-2;-8;0,-6;-8;-1,60234,2021-11-16
69,60494,,,,,60494,2021-11-16
70,60496,-6;-10;-2,-3;-12;0,-2;-12;0,-3;-8;0,60496,2021-11-16
71,60771,,,,,60771,2021-11-16
72,60778,-3;-12;2,-5;-9;1,-3;-17;0,-5;-15;1,60778,2021-11-16
73,61044,,,,,61044,2021-11-16
74,61046,-3;-14;2,-1;-19;2,-1;-16;-1,1;-22;0,61046,2021-11-16
75,61307,,,,,61307,2021-11-16
76,61310,2;-20;1,0;-12;7,0;-11;6,3;-14;2,61310,2021-11-16
77,61578,,,,,61578,2021-11-16
78,61580,1;-11;0,3;-16;0,5;-20;-3,0;-18;-5,61580,2021-11-16
79,61863,,,,,61863,2021-11-16
80,61867,2;-17;1,0;-14;1,0;-14;1,1;-14;4,61867,2021-11-16
81,62128,,,,,62128,2021-11-16
82,62264,0;-13;0,0;-15;0,5;-18;-2,3;-14;0,62264,2021-11-16
83,62534,,,,,62534,2021-11-16
84,62536,4;-14;5,5;-12;10,5;-11;6,5;-15;3,62536,2021-11-16
85,62796,,,,,62796,2021-11-16
86,62799,8;-18;1,8;-19;-2,6;-20;0,4;-15;7,62799,2021-11-16
87,63072,,,,,63072,2021-11-16
88,63074,5;-10;6,5;-8;0,3;-13;0,8;-16;-1,63074,2021-11-16
89,63334,,,,,63334,2021-11-16
90,63336,6;-10;-1,6;-10;6,7;-17;6,17;-25;4,63336,2021-11-16
91,63597,,,,,63597,2021-11-16
92,63603,9;-17;2,13;-16;2,11;-16;4,13;-11;1,63603,2021-11-16
93,63873,,,,,63873,2021-11-16
94,63875,13;-10;7,17;-11;5,17;-12;8,17;-14;4,63875,2021-11-16
95,64135,,,,,64135,2021-11-16
96,64137,16;-15;4,14;-11;5,14;-8;2,12;-7;1,64137,2021-11-16
97,64411,,,,,64411,2021-11-16
98,64413,15;-8;6,14;-6;5,15;-8;2,18;-11;0,64413,2021-11-16
99,64672,,,,,64672,2021-11-16
100,64675,17;-7;6,16;-10;10,17;-8;2,16;-11;5,64675,2021-11-16
101,64935,,,,,64935,2021-11-16
102,64943,16;-11;5,15;-13;6,14;-10;4,14;-11;1,64943,2021-11-16
103,65211,,,,,65211,2021-11-16
104,65213,12;-11;4,10;-10;1,11;-11;2,9;-10;5,65213,2021-11-16
105,65481,,,,,65481,2021-11-16
106,65484,9;-11;3,9;-12;4,7;-10;0,9;-10;1,65484,2021-11-16
107,65762,,,,,65762,2021-11-16
108,65764,6;-10;1,6;-9;2,7;-9;1,6;-10;-1,65764,2021-11-16
109,66025,,,,,66025,2021-11-16
110,66027,7;-11;0,6;-7;5,7;-8;5,9;-6;5,66027,2021-11-16
111,66287,,,,,66287,2021-11-16
112,66293,7;-8;3,9;-7;0,7;-10;0,7;-11;0,66293,2021-11-16
113,66563,,,,,66563,2021-11-16
114,66565,1;-9;3,-6;-3;2,-7;-5;1,-7;-4;0,66565,2021-11-16
115,66825,,,,,66825,2021-11-16
116,66827,-6;-3;-1,-8;-3;-1,-6;-5;0,-6;-9;0,66827,2021-11-16
117,67094,,,,,67094,2021-11-16
118,67096,-6;-9;-2,-6;-7;-3,-11;-6;-4,-14;-2;1,67096,2021-11-16
119,67362,,,,,67362,2021-11-16
120,67365,-14;1;0,-14;-1;-4,-14;-4;-5,-11;-1;-6,67365,2021-11-16
121,67627,,,,,67627,2021-11-16
122,67634,-17;-1;1,-14;-2;0,-12;0;-2,-9;0;-3,67634,2021-11-16
123,67903,,,,,67903,2021-11-16
124,67905,-12;4;-4,-11;3;0,-10;7;-5,-14;1;-7,67905,2021-11-16
125,68164,,,,,68164,2021-11-16
126,68166,-10;10;-9,-12;7;0,-13;12;0,-11;8;3,68166,2021-11-16
127,68446,,,,,68446,2021-11-16
128,68448,-9;23;2,-9;7;-3,-7;10;4,-6;12;6,68448,2021-11-16
129,68714,,,,,68714,2021-11-16
130,68716,-5;16;1,-5;15;-1,-5;16;-6,-5;13;-7,68716,2021-11-16
131,68983,,,,,68983,2021-11-16
132,68990,-9;18;-2,-6;17;-5,-6;13;0,-3;13;0,68990,2021-11-16
133,69261,,,,,69261,2021-11-16
134,69263,-7;16;0,-1;11;-1,-3;14;-3,-5;16;2,69263,2021-11-16
135,69522,,,,,69522,2021-11-16
136,69524,-7;21;-3,-3;17;0,0;14;-5,-3;12;-5,69524,2021-11-16
137,69796,,,,,69796,2021-11-16
138,69798,-5;16;-1,0;18;-1,-5;11;-3,-8;3;1,69798,2021-11-16
139,70066,,,,,70066,2021-11-16
140,70068,-1;8;2,-6;5;4,-3;7;-4,-4;6;-5,70068,2021-11-16
141,70331,,,,,70331,2021-11-16
142,70337,-7;4;2,-5;0;-2,-7;-1;-2,-7;-2;0,70337,2021-11-16
143,70598,,,,,70598,2021-11-16
144,70600,-7;-6;1,-8;-5;0,-8;-4;0,-9;-2;-1,70600,2021-11-16
145,70862,,,,,70862,2021-11-16
146,70864,-13;-5;-1,-13;-7;-2,-11;-7;-6,-13;-11;-6,70864,2021-11-16
147,71136,,,,,71136,2021-11-16
148,71138,-11;-10;-6,-11;-6;-2,-12;-10;0,-15;-8;0,71138,2021-11-16
149,71405,,,,,71405,2021-11-16
150,71408,-13;-4;-3,-12;-4;-5,-12;-4;-2,-19;-6;-2,71408,2021-11-16
151,71667,,,,,71667,2021-11-16
152,71674,-15;0;-3,-14;-7;-3,-10;-8;-6,-14;-6;2,71674,2021-11-16
153,71944,,,,,71944,2021-11-16
154,71946,-11;-6;-7,-13;-4;-6,-14;-8;-1,-8;-12;-8,71946,2021-11-16
155,72207,,,,,72207,2021-11-16
156,72209,-8;-8;-6,-15;-9;-2,-12;-9;-2,-13;-8;-4,72209,2021-11-16
157,72480,,,,,72480,2021-11-16
158,72482,-12;-8;-3,-14;-5;-2,-15;-10;-3,-12;-9;-3,72482,2021-11-16
159,72743,,,,,72743,2021-11-16
160,72745,-10;-6;0,-7;-8;0,-5;-5;0,-5;-6;-2,72745,2021-11-16
161,73011,,,,,73011,2021-11-16
162,73013,-5;-8;-4,-6;-10;0,-7;-6;-2,-9;-6;0,73013,2021-11-16
163,73281,,,,,73281,2021-11-16
164,73284,-5;-9;0,-6;-9;-2,-5;-6;1,-4;-4;-1,73284,2021-11-16
165,73556,,,,,73556,2021-11-16
166,73559,-2;-10;-3,0;-8;-3,-3;-9;-1,-5;-4;1,73559,2021-11-16
167,73839,,,,,73839,2021-11-16
168,73841,-2;-9;3,-4;-7;-2,-2;-7;1,-4;-6;2,73841,2021-11-16
169,74102,,,,,74102,2021-11-16
170,74104,0;-10;0,-3;-9;-1,-4;-8;-2,-3;-6;-2,74104,2021-11-16
171,74369,,,,,74369,2021-11-16
172,74372,-4;-7;0,-5;-7;0,-3;-8;0,-3;-1;1,74372,2021-11-16
173,74634,,,,,74634,2021-11-16
174,74636,-3;-9;-2,0;-4;-4,-2;-6;-1,-1;-5;0,74636,2021-11-16
175,74896,,,,,74896,2021-11-16
176,74899,-5;-7;2,-2;-5;0,-5;-6;3,-4;-8;-1,74899,2021-11-16
177,75165,,,,,75165,2021-11-16
178,75167,-3;-6;-1,-3;-7;0,-2;-8;2,0;-6;0,75167,2021-11-16
179,75442,,,,,75442,2021-11-16
180,75444,-1;-4;2,-2;-2;5,0;-9;2,0;-8;2,75444,2021-11-16
181,75715,,,,,75715,2021-11-16
182,75717,-3;-4;2,-1;-5;6,0;-5;0,0;-3;0,75717,2021-11-16
183,75984,,,,,75984,2021-11-16
184,75986,0;-8;2,-4;-4;6,0;0;0,2;-7;-3,75986,2021-11-16
185,76248,,,,,76248,2021-11-16
186,76250,1;-5;-1,-1;-7;-3,-2;-2;4,-1;-7;-2,76250,2021-11-16
187,76522,,,,,76522,2021-11-16
188,76525,-1;-5;1,1;-2;-2,1;-5;2,1;-8;-6,76525,2021-11-16
189,76785,,,,,76785,2021-11-16
190,76787,-2;-4;0,0;-8;-5,-2;-5;2,0;-5;0,76787,2021-11-16
191,77061,,,,,77061,2021-11-16
192,77063,1;-8;0,0;-6;-5,-2;-4;0,1;-8;1,77063,2021-11-16
193,77323,,,,,77323,2021-11-16
194,77326,1;-2;0,1;-3;-2,-1;-7;0,-1;-2;2,77326,2021-11-16
195,77586,,,,,77586,2021-11-16
196,77588,0;-8;5,-1;-7;0,0;-6;-1,0;-8;0,77588,2021-11-16
197,77861,,,,,77861,2021-11-16
198,77863,1;-7;4,0;-5;3,0;-4;0,1;-5;3,77863,2021-11-16
199,78125,,,,,78125,2021-11-16
200,78127,0;-9;2,0;-8;-1,0;-7;-1,0;-5;0,78127,2021-11-16
201,78387,,,,,78387,2021-11-16
202,78394,0;-4;4,1;-5;1,0;-7;1,-2;-9;0,78394,2021-11-16
203,78662,,,,,78662,2021-11-16
204,78664,0;-6;-1,0;-5;0,1;-6;0,0;-5;2,78664,2021-11-16
205,78924,,,,,78924,2021-11-16
206,78926,0;-7;3,0;-7;4,0;-5;0,0;-6;0,78926,2021-11-16
