,index,acc1,acc2,acc3,acc4,duration
0,46746,-1;-6;-6,4;-3;-2,3;-3;1,3;-2;2,46746
1,51360,,,,,51360
2,51363,1;0;2,2;-2;1,1;-1;1,0;-3;2,51363
3,51622,,,,,51622
4,51624,0;-2;2,-1;-4;0,-2;-2;-1,-3;0;1,51624
5,51892,,,,,51892
6,51894,-2;0;4,-4;0;1,-3;0;0,-3;-2;2,51894
7,52161,,,,,52161
8,52163,-1;-3;0,-2;-3;0,-2;-1;0,-2;1;0,52163
9,52423,,,,,52423
10,52425,-4;1;-3,-5;0;-3,-2;0;0,-5;3;4,52425
11,52699,,,,,52699
12,52701,-1;1;0,-2;0;1,-5;2;1,-2;0;-1,52701
13,52962,,,,,52962
14,52964,-3;1;0,-1;2;0,-2;3;1,-1;3;-1,52964
15,53230,,,,,53230
16,53232,-2;4;0,-2;2;2,-3;6;0,-2;3;0,53232
17,53502,,,,,53502
18,53505,-4;2;-2,-5;6;-1,-3;6;0,-3;5;-1,53505
19,53771,,,,,53771
20,53773,0;8;2,-2;9;-3,0;3;1,-1;10;3,53773
21,54057,,,,,54057
22,54060,1;11;0,1;0;-2,0;0;-3,1;4;-1,54060
23,54325,,,,,54325
24,54327,1;5;-3,3;8;-3,2;6;-2,0;8;2,54327
25,54588,,,,,54588
26,54596,0;6;-1,-2;10;0,0;10;-5,-2;12;0,54596
27,54864,,,,,54864
28,54866,0;11;0,1;15;1,0;15;1,1;12;1,54866
29,55126,,,,,55126
30,55129,3;9;2,4;12;4,2;10;4,0;12;1,55129
31,55396,,,,,55396
32,55398,1;7;1,-1;9;1,2;7;-1,2;10;-2,55398
33,55664,,,,,55664
34,55666,0;12;-3,1;10;1,0;7;0,0;8;0,55666
35,55927,,,,,55927
36,55936,-2;8;0,0;9;5,1;10;2,1;8;-1,55936
37,56198,,,,,56198
38,56200,0;7;0,0;10;2,0;10;0,-1;3;0,56200
39,56465,,,,,56465
40,56467,2;5;0,0;2;1,1;6;2,2;1;2,56467
41,56732,,,,,56732
42,56734,-2;4;0,-1;2;-1,0;2;2,-2;0;2,56734
43,57003,,,,,57003
44,57006,0;0;2,1;-3;4,1;-3;2,0;-1;0,57006
45,57266,,,,,57266
46,57268,0;-1;0,-1;-1;2,-1;-2;-1,0;-2;0,57268
47,57541,,,,,57541
48,57543,-1;-4;0,-2;-3;-1,-3;-3;1,-3;-4;0,57543
49,57804,,,,,57804
50,57806,-3;-4;0,-1;-5;0,-2;-2;-1,-3;-2;-1,57806
51,58072,,,,,58072
52,58074,-3;-5;-3,-3;-4;0,-3;-5;0,-3;-3;1,58074
53,58335,,,,,58335
54,58337,-5;0;4,0;-5;0,0;-7;-4,0;-5;-2,58337
55,58605,,,,,58605
56,58607,0;-4;-2,1;-3;2,4;-6;3,4;-6;0,58607
57,58874,,,,,58874
58,58876,7;-5;2,5;-4;2,0;-3;5,5;-3;2,58876
59,59143,,,,,59143
60,59145,1;-1;0,-3;-3;1,-3;-4;-1,-1;-2;0,59145
61,59405,,,,,59405
62,59412,-2;-5;-2,-4;-6;-2,-4;-5;-3,-4;-3;-3,59412
63,59681,,,,,59681
64,59683,-4;-4;1,-1;-3;5,-2;-5;4,-1;-6;0,59683
65,59957,,,,,59957
66,59959,0;-8;3,-3;-6;0,-5;-4;1,-4;-3;3,59959
67,60232,,,,,60232
68,60234,-4;-6;-3,-4;-7;0,-2;-8;0,-6;-8;-1,60234
69,60494,,,,,60494
70,60496,-6;-10;-2,-3;-12;0,-2;-12;0,-3;-8;0,60496
71,60771,,,,,60771
72,60778,-3;-12;2,-5;-9;1,-3;-17;0,-5;-15;1,60778
73,61044,,,,,61044
74,61046,-3;-14;2,-1;-19;2,-1;-16;-1,1;-22;0,61046
75,61307,,,,,61307
76,61310,2;-20;1,0;-12;7,0;-11;6,3;-14;2,61310
77,61578,,,,,61578
78,61580,1;-11;0,3;-16;0,5;-20;-3,0;-18;-5,61580
79,61863,,,,,61863
80,61867,2;-17;1,0;-14;1,0;-14;1,1;-14;4,61867
81,62128,,,,,62128
82,62264,0;-13;0,0;-15;0,5;-18;-2,3;-14;0,62264
83,62534,,,,,62534
84,62536,4;-14;5,5;-12;10,5;-11;6,5;-15;3,62536
85,62796,,,,,62796
86,62799,8;-18;1,8;-19;-2,6;-20;0,4;-15;7,62799
87,63072,,,,,63072
88,63074,5;-10;6,5;-8;0,3;-13;0,8;-16;-1,63074
89,63334,,,,,63334
90,63336,6;-10;-1,6;-10;6,7;-17;6,17;-25;4,63336
91,63597,,,,,63597
92,63603,9;-17;2,13;-16;2,11;-16;4,13;-11;1,63603
93,63873,,,,,63873
94,63875,13;-10;7,17;-11;5,17;-12;8,17;-14;4,63875
95,64135,,,,,64135
96,64137,16;-15;4,14;-11;5,14;-8;2,12;-7;1,64137
97,64411,,,,,64411
98,64413,15;-8;6,14;-6;5,15;-8;2,18;-11;0,64413
99,64672,,,,,64672
100,64675,17;-7;6,16;-10;10,17;-8;2,16;-11;5,64675
101,64935,,,,,64935
102,64943,16;-11;5,15;-13;6,14;-10;4,14;-11;1,64943
103,65211,,,,,65211
104,65213,12;-11;4,10;-10;1,11;-11;2,9;-10;5,65213
105,65481,,,,,65481
106,65484,9;-11;3,9;-12;4,7;-10;0,9;-10;1,65484
107,65762,,,,,65762
108,65764,6;-10;1,6;-9;2,7;-9;1,6;-10;-1,65764
109,66025,,,,,66025
110,66027,7;-11;0,6;-7;5,7;-8;5,9;-6;5,66027
111,66287,,,,,66287
112,66293,7;-8;3,9;-7;0,7;-10;0,7;-11;0,66293
113,66563,,,,,66563
114,66565,1;-9;3,-6;-3;2,-7;-5;1,-7;-4;0,66565
115,66825,,,,,66825
116,66827,-6;-3;-1,-8;-3;-1,-6;-5;0,-6;-9;0,66827
117,67094,,,,,67094
118,67096,-6;-9;-2,-6;-7;-3,-11;-6;-4,-14;-2;1,67096
119,67362,,,,,67362
120,67365,-14;1;0,-14;-1;-4,-14;-4;-5,-11;-1;-6,67365
121,67627,,,,,67627
122,67634,-17;-1;1,-14;-2;0,-12;0;-2,-9;0;-3,67634
123,67903,,,,,67903
124,67905,-12;4;-4,-11;3;0,-10;7;-5,-14;1;-7,67905
125,68164,,,,,68164
126,68166,-10;10;-9,-12;7;0,-13;12;0,-11;8;3,68166
127,68446,,,,,68446
128,68448,-9;23;2,-9;7;-3,-7;10;4,-6;12;6,68448
129,68714,,,,,68714
130,68716,-5;16;1,-5;15;-1,-5;16;-6,-5;13;-7,68716
131,68983,,,,,68983
132,68990,-9;18;-2,-6;17;-5,-6;13;0,-3;13;0,68990
133,69261,,,,,69261
134,69263,-7;16;0,-1;11;-1,-3;14;-3,-5;16;2,69263
135,69522,,,,,69522
136,69524,-7;21;-3,-3;17;0,0;14;-5,-3;12;-5,69524
137,69796,,,,,69796
138,69798,-5;16;-1,0;18;-1,-5;11;-3,-8;3;1,69798
139,70066,,,,,70066
140,70068,-1;8;2,-6;5;4,-3;7;-4,-4;6;-5,70068
141,70331,,,,,70331
142,70337,-7;4;2,-5;0;-2,-7;-1;-2,-7;-2;0,70337
143,70598,,,,,70598
144,70600,-7;-6;1,-8;-5;0,-8;-4;0,-9;-2;-1,70600
145,70862,,,,,70862
146,70864,-13;-5;-1,-13;-7;-2,-11;-7;-6,-13;-11;-6,70864
147,71136,,,,,71136
148,71138,-11;-10;-6,-11;-6;-2,-12;-10;0,-15;-8;0,71138
149,71405,,,,,71405
150,71408,-13;-4;-3,-12;-4;-5,-12;-4;-2,-19;-6;-2,71408
151,71667,,,,,71667
152,71674,-15;0;-3,-14;-7;-3,-10;-8;-6,-14;-6;2,71674
153,71944,,,,,71944
154,71946,-11;-6;-7,-13;-4;-6,-14;-8;-1,-8;-12;-8,71946
155,72207,,,,,72207
156,72209,-8;-8;-6,-15;-9;-2,-12;-9;-2,-13;-8;-4,72209
157,72480,,,,,72480
158,72482,-12;-8;-3,-14;-5;-2,-15;-10;-3,-12;-9;-3,72482
159,72743,,,,,72743
160,72745,-10;-6;0,-7;-8;0,-5;-5;0,-5;-6;-2,72745
161,73011,,,,,73011
162,73013,-5;-8;-4,-6;-10;0,-7;-6;-2,-9;-6;0,73013
163,73281,,,,,73281
164,73284,-5;-9;0,-6;-9;-2,-5;-6;1,-4;-4;-1,73284
165,73556,,,,,73556
166,73559,-2;-10;-3,0;-8;-3,-3;-9;-1,-5;-4;1,73559
167,73839,,,,,73839
168,73841,-2;-9;3,-4;-7;-2,-2;-7;1,-4;-6;2,73841
169,74102,,,,,74102
170,74104,0;-10;0,-3;-9;-1,-4;-8;-2,-3;-6;-2,74104
171,74369,,,,,74369
172,74372,-4;-7;0,-5;-7;0,-3;-8;0,-3;-1;1,74372
173,74634,,,,,74634
174,74636,-3;-9;-2,0;-4;-4,-2;-6;-1,-1;-5;0,74636
175,74896,,,,,74896
176,74899,-5;-7;2,-2;-5;0,-5;-6;3,-4;-8;-1,74899
177,75165,,,,,75165
178,75167,-3;-6;-1,-3;-7;0,-2;-8;2,0;-6;0,75167
179,75442,,,,,75442
180,75444,-1;-4;2,-2;-2;5,0;-9;2,0;-8;2,75444
