,rpm,speed,throt_pos,engine_load,bat_volt
31606,1994.0,19.262501,30,54,14.78
36320,1589.0,19.262501,30,50,14.71
36585,1621.0,19.883872,29,48,14.71
36874,1625.0,19.883872,29,48,14.74
37147,1649.0,19.883872,29,45,14.77
37426,1665.0,19.883872,29,44,14.77
37698,1694.0,19.883872,29,44,14.71
37978,1718.0,20.505243,29,43,14.75
38248,1726.0,20.505243,29,43,14.71
38524,1733.0,20.505243,29,43,14.77
38799,1736.0,21.126614,29,43,14.66
39074,1745.0,21.126614,29,44,14.71
39353,1735.0,21.126614,29,43,14.75
39627,1749.0,21.126614,29,44,14.74
39906,1752.0,21.126614,29,43,14.69
40176,1762.0,21.126614,29,43,14.75
40452,1767.0,21.747985,26,30,14.74
40727,1759.0,21.126614,25,30,14.75
41001,1762.0,21.126614,25,30,14.71
41283,1745.0,21.126614,25,31,14.75
41559,1748.0,21.126614,27,39,14.73
41838,1761.0,21.126614,27,38,14.7
42102,1765.0,21.126614,27,39,14.79
42378,1767.0,21.126614,27,38,14.71
42653,1764.0,21.126614,27,38,14.75
42923,1767.0,21.126614,27,38,14.71
43204,1764.0,21.126614,27,38,14.77
43480,1764.0,21.747985,27,38,14.71
43760,1777.0,21.747985,27,37,14.67
44037,1774.0,21.747985,27,36,14.7
44311,1778.0,21.747985,27,38,14.79
44580,1785.0,21.747985,27,38,14.75
44852,1790.0,21.747985,27,38,14.73
45124,1793.0,21.747985,27,37,14.74
45402,1793.0,21.747985,27,38,14.74
45680,1672.0,21.747985,28,51,14.69
45956,1436.0,21.747985,29,52,14.73
46233,1457.0,21.747985,29,50,14.73
46502,1478.0,22.369356,29,50,14.71
46777,1487.0,22.369356,29,50,14.75
47051,1478.0,22.369356,29,50,14.73
47321,1478.0,22.369356,29,51,14.75
47594,1476.0,22.369356,29,52,14.77
47858,1468.0,22.369356,29,51,14.71
48138,1448.0,22.369356,30,55,14.71
48404,1472.0,22.369356,34,85,14.71
48671,1553.0,22.369356,32,69,14.71
48947,1506.0,22.990727,32,67,14.74
49220,1539.0,22.990727,33,68,14.73
49491,1530.0,23.612098,32,69,14.75
49760,1531.0,23.612098,33,69,14.69
50041,1515.0,23.612098,33,68,14.71
50311,1516.0,24.233469,33,68,14.71
50587,1527.0,24.233469,33,69,14.7
50874,1532.0,24.85484,33,67,14.79
51148,1552.0,24.85484,33,68,14.79
51429,1562.0,24.85484,33,68,14.74
51699,1582.0,25.476211,33,67,14.71
51981,1591.0,25.476211,32,66,14.75
52250,1610.0,26.097582,30,49,14.67
52527,1627.0,26.097582,23,26,14.73
52812,1610.0,26.097582,23,29,14.71
53075,1632.0,26.097582,23,29,14.69
53356,1619.0,26.097582,26,36,14.75
53626,1628.0,26.097582,27,41,14.71
53907,1635.0,26.097582,27,41,14.74
54176,1638.0,26.718953,28,43,14.77
54448,1656.0,26.718953,28,42,14.78
54721,1658.0,26.718953,28,42,14.71
54996,1665.0,26.718953,28,42,14.79
55277,1683.0,26.718953,28,43,14.67
55540,1689.0,27.340324,28,42,14.7
55838,1701.0,27.340324,28,42,14.7
56107,1711.0,27.340324,28,41,14.71
56379,1712.0,27.340324,28,41,14.69
56655,1731.0,27.961695,28,41,14.71
56924,1736.0,27.961695,28,41,14.67
57203,1743.0,27.961695,28,41,14.69
57474,1747.0,27.961695,28,40,14.67
57748,1759.0,27.961695,28,41,14.71
58017,1764.0,28.583066,28,41,14.73
58280,1766.0,28.583066,28,41,14.7
58556,1766.0,28.583066,28,41,14.74
58818,1770.0,28.583066,28,40,14.71
59095,1776.0,28.583066,28,41,14.7
59364,1768.0,28.583066,29,41,14.74
59643,1769.0,28.583066,29,45,14.73
59917,1791.0,28.583066,30,45,14.67
60183,1783.0,28.583066,30,46,14.69
60471,1790.0,28.583066,30,47,14.7
60746,1780.0,27.961695,30,46,14.7
61024,1770.0,27.961695,30,46,14.69
61296,1766.0,27.961695,30,47,14.67
61578,1741.0,27.961695,29,46,14.67
61846,1744.0,27.961695,29,47,14.71
62123,1724.0,27.340324,29,47,14.69
62403,1712.0,27.340324,29,47,14.77
62679,1703.0,27.340324,29,47,14.73
62948,1684.0,26.718953,29,47,14.67
63220,1675.0,26.718953,29,47,14.7
63491,1667.0,26.718953,29,49,14.66
63761,1656.0,26.718953,29,48,14.7
64036,1650.0,26.718953,29,48,14.7
64311,1649.0,26.718953,29,48,14.67
64575,1646.0,26.718953,22,24,14.67
64855,1642.0,26.718953,18,16,14.62
65126,1625.0,26.097582,18,16,14.64
65406,1587.0,26.097582,18,18,14.64
65675,1545.0,26.718953,18,18,14.67
65952,1520.0,26.097582,18,19,14.67
66222,1507.0,26.718953,18,19,14.67
66497,1505.0,26.718953,18,19,14.63
66777,1503.0,26.718953,18,19,14.66
67048,1508.0,26.718953,18,19,14.69
67321,1489.0,26.718953,18,19,14.69
67597,1491.0,26.718953,18,18,14.64
67874,1609.0,26.718953,18,18,14.61
68141,1654.0,26.718953,18,17,14.69
68417,1659.0,26.718953,18,17,14.67
68698,1657.0,26.718953,18,17,14.62
68969,1625.0,26.718953,18,17,14.61
69249,1594.0,26.718953,17,14,14.42
69517,1595.0,26.718953,17,14,14.56
69796,1587.0,26.097582,17,15,14.58
70069,1581.0,25.476211,17,15,14.5
70342,1550.0,25.476211,17,15,14.49
70605,1511.0,24.85484,17,16,14.62
70877,1479.0,24.233469,17,16,14.57
71150,1434.0,23.612098,17,16,14.64
71418,1401.0,22.990727,17,18,14.54
71701,1283.0,22.369356,16,19,14.53
71976,1164.0,21.126614,17,22,14.58
72251,1051.0,20.505243,17,24,14.54
72520,1007.0,19.262501,17,24,14.58
72795,1013.0,18.019759,17,24,14.6
73071,1037.0,17.398388,17,23,14.56
73338,1005.0,16.155646,17,27,14.66
73617,902.0,14.912904000000001,18,35,14.58
73885,828.0,14.291533,18,34,14.67
74165,907.0,13.048791,18,31,14.64
74434,934.0,11.806049,18,30,14.63
74711,933.0,10.563307,18,32,14.7
74979,872.0,9.941936,18,34,14.69
75248,899.0,8.699194,18,33,14.57
75535,890.0,7.4564520000000005,18,34,14.57
75805,879.0,6.835081,18,35,14.6
76078,872.0,6.21371,18,37,14.58
76348,846.0,4.970968,19,40,14.61
76662,862.0,3.7282260000000003,19,39,14.64
76937,854.0,2.485484,19,41,14.48
77212,815.0,1.8641130000000001,19,42,14.67
77487,823.0,1.242742,20,44,14.5
77756,819.0,0.621371,20,45,14.6
78030,814.0,0.0,20,43,14.58
78301,828.0,0.0,20,43,14.49
78580,824.0,0.0,20,41,14.58
78845,819.0,0.0,19,40,14.53
79114,847.0,0.0,19,40,14.45
79388,838.0,0.0,19,39,14.61
79668,833.0,0.0,19,38,14.5
79943,840.0,0.0,19,38,14.41
80215,836.0,0.0,19,38,14.56
80483,836.0,0.0,18,37,14.39
80753,834.0,0.0,18,38,14.45
81021,828.0,0.0,19,39,14.44
81290,819.0,0.0,18,39,14.37
81559,812.0,0.0,19,38,14.53
81842,816.0,0.0,19,40,14.49
82116,820.0,0.0,18,39,14.54
82383,805.0,0.0,19,40,14.53
82654,812.0,0.0,18,38,14.54
82917,805.0,0.0,18,38,14.46
83193,799.0,0.0,18,38,14.52
83461,817.0,0.0,18,37,14.42
83741,806.0,0.0,18,36,14.48
84005,822.0,0.0,18,38,14.54
84268,823.0,0.0,18,38,14.4
84544,823.0,0.0,18,37,14.54
84815,814.0,0.0,18,38,14.48
85088,804.0,0.0,18,39,14.54
