,index,acc1,acc2,acc3,acc4,duration,trip_id,utcdate
0,31684,1;2;0,0;2;1,0;-2;0,-1;2;0,31684,29,2021-11-24
1,36328,,,,,36328,29,2021-11-24
2,36331,0;0;0,0;0;0,-1;0;-1,0;0;0,36331,29,2021-11-24
3,36602,,,,,36602,29,2021-11-24
4,36605,0;2;0,0;2;0,0;0;1,0;1;0,36605,29,2021-11-24
5,36874,,,,,36874,29,2021-11-24
6,36877,-1;-3;0,0;1;0,0;0;0,1;0;0,36877,29,2021-11-24
7,37141,,,,,37141,29,2021-11-24
8,37143,0;-2;0,0;0;1,1;0;0,0;-1;0,37143,29,2021-11-24
9,37404,,,,,37404,29,2021-11-24
10,37412,1;0;0,0;2;0,0;1;0,1;0;0,37412,29,2021-11-24
11,37680,,,,,37680,29,2021-11-24
12,37683,0;0;-1,0;0;0,0;2;0,0;-2;-1,37683,29,2021-11-24
13,37954,,,,,37954,29,2021-11-24
14,37956,0;2;0,0;-1;0,0;0;0,0;1;0,37956,29,2021-11-24
15,38222,,,,,38222,29,2021-11-24
16,38225,0;-1;0,0;2;0,0;0;-2,0;0;0,38225,29,2021-11-24
17,38492,,,,,38492,29,2021-11-24
18,38495,0;0;0,0;2;0,1;0;-2,0;-1;0,38495,29,2021-11-24
19,38760,,,,,38760,29,2021-11-24
20,38763,-1;0;-1,0;1;0,0;0;1,0;0;0,38763,29,2021-11-24
21,39030,,,,,39030,29,2021-11-24
22,39033,0;-1;0,0;2;-1,0;2;0,0;-1;-1,39033,29,2021-11-24
23,39302,,,,,39302,29,2021-11-24
24,39309,0;1;0,0;0;-1,1;1;-1,0;-2;0,39309,29,2021-11-24
25,39580,,,,,39580,29,2021-11-24
26,39583,0;0;2,0;2;0,0;0;-3,-2;0;0,39583,29,2021-11-24
27,39856,,,,,39856,29,2021-11-24
28,39859,-7;3;-1,0;-1;1,-1;0;1,-2;0;1,39859,29,2021-11-24
29,40131,,,,,40131,29,2021-11-24
30,40133,-3;-3;0,-1;0;0,-3;-1;0,-3;0;0,40133,29,2021-11-24
31,40393,,,,,40393,29,2021-11-24
32,40396,-3;0;0,-2;0;0,-5;0;0,-8;2;1,40396,29,2021-11-24
33,40666,,,,,40666,29,2021-11-24
34,40669,-14;2;-1,-13;0;-3,-16;-2;-3,-16;2;-6,40669,29,2021-11-24
35,40933,,,,,40933,29,2021-11-24
36,40936,-15;3;-5,-16;1;-5,-15;3;-4,-15;1;-3,40936,29,2021-11-24
